sample,ordering,row,transect,sm,land.prod.basic,ndvi,direction,distance ,tree density,grain.g,biomass.g,grain.t.ha,slope,slope deg,aspect,SWF,lon,lat,xcoord ,ycoord
2a-IV,30,2,A,6.9,high,0.79,up,1,high,438,1702,4.38,Sloppy slopes,5.2747259140,South West,no,8.252904206644760,50.396797172142300,446900.0791,5583016.682
2b-i,31,2,B,6.5,high,0.68,down,4.5,high,464,1643,4.64,Sloppy slopes,6.5327391624,South West,no,8.252699796982020,50.397146496395000,446885.9412,5583055.67
2b-I,32,2,B,5.5,low,0.79,up,4.5,high,232,1005,2.32,Slopping slopes,8.0487632751,South West,no,8.252866703514040,50.397162740007500,446897.822,5583057.357
2b-ii,33,2,B,6.6,high,0.75,down,9,high,295,1149,2.95,Slopping slopes,7.2249846458,South West,no,8.252637207062570,50.397140404978700,446881.4858,5583055.037
2b-II,34,2,B,5.7,low,0.69,up,9,high,263,959,2.63,Slopping slopes,8.3633432388,South West,no,8.252929293493620,50.397168831300500,446902.2773,5583057.99
2b-iv,35,2,B,6.4,high,0.68,down,1,high,207,801,2.07,Slopping slopes,8.0941877365,South West,no,8.252748478041820,50.397151234140000,446889.4064,5583056.162
2b-IV,36,2,B,5.7,low,0.74,up,1,high,253,1066,2.53,Slopping slopes,7.5918841362,South West,no,8.252818022430160,50.397158002311900,446894.3567,5583056.865
2c-i,37,2,C,5.2,low,0.53,down,4.5,high,304,1150,3.04,Sloppy slopes,5.8291611671,North West,no,8.252577573596030,50.397660438130500,446877.8287,5583112.903
2c-I,38,2,C,5.3,low,0.72,up,4.5,high,380,1539,3.8,Sloppy slopes,6.2027616501,North West,no,8.252744504002320,50.397676588806900,446889.711,5583114.579
2c-ii,39,2,C,5.3,low,0.50,down,9,high,178,684,1.78,Sloppy slopes,5.7660284042,North West,no,8.252514974723560,50.397654381565200,446873.3728,5583112.274
2c-II,40,2,C,5.4,low,0.77,up,9,high,301,1312,3.01,Sloppy slopes,6.7103219032,North West,no,8.252807102934590,50.397682645249000,446894.1668,5583115.208
2c-iv,41,2,C,5.3,low,0.21,down,1,high,171,689,1.71,Sloppy slopes,5.1566553116,North West,no,8.252626261619220,50.397665148769100,446881.2943,5583113.392
2c-IV,42,2,C,5.3,low,0.70,up,1,high,286,974,2.86,Sloppy slopes,6.6776509285,North West,no,8.252695815955180,50.397671878217700,446886.2453,5583114.09
2d-i,43,2,D,7.6,high,0.76,down,4.5,high,421,1714,4.21,Sloppy slopes,6.7371616364,South West,no,8.252384058202900,50.398476824740900,446864.9876,5583203.815
2d-I,44,2,D,7.8,high,0.80,up,4.5,high,302,1377,3.02,Sloppy slopes,5.8937845230,South West,no,8.252550977783940,50.398493033119700,446876.869,5583205.498
2d-ii,45,2,D,7.6,high,0.73,down,9,high,250,1070,2.5,Slopping slopes,8.1404848099,South West,no,8.252321463390010,50.398470746537200,446860.5321,5583203.184
2d-II,46,2,D,7.7,high,0.78,up,9,high,226,1040,2.26,Gentle slopes,4.9935226440,South West,no,8.252613572656830,50.398499111200200,446881.3245,5583206.129
2d-iv,47,2,D,7.5,high,0.76,down,1,high,212,953,2.12,Slopping slopes,7.7656784058,South West,no,8.252432743068680,50.398481552209400,446868.453,5583204.306
2d-IV,48,2,D,7.7,high,0.75,up,1,high,303,1355,3.03,Sloppy slopes,6.9241886139,South West,no,8.252502292894110,50.398488305700600,446873.4036,5583205.007
3a-i,49,3,A,6.1,high,0.69,down,4.5,high,287,1238,2.87,Sloppy slopes,6.6241893768,South West,no,8.253008875063130,50.397101428498800,446907.8582,5583050.438
3a-I,50,3,A,5.3,low,0.67,up,4.5,high,185,956,1.85,Slopping slopes,8.4402580261,South West,no,8.253175807184050,50.397117563666000,446919.7407,5583052.113
3a-ii,51,3,A,6.2,high,0.79,down,9,high,354,1500,3.54,Sloppy slopes,6.6813931465,South West,no,8.252946275547660,50.397095377749500,446903.4022,5583049.81
3a-II,52,3,A,4.8,low,0.64,up,9,high,164,564,1.64,Sloppy slopes,6.5451874733,South West,no,8.253238406759250,50.397123614292100,446924.1967,5583052.741
3a-iv,53,3,A,6.0,high,0.56,down,1,high,162,801,1.62,Slopping slopes,8.3262939453,South West,no,8.253057563586430,50.397106134614000,446911.3239,5583050.927
3a-IV,54,3,A,5.6,low,0.81,up,1,high,266,1340,2.66,Slopping slopes,7.7467684746,South West,no,8.253127118636810,50.397112857600300,446916.275,5583051.625
3b-i,55,3,B,4.8,low,0.71,down,4.5,high,442,1433,4.42,Gentle slopes,4.6108398438,North West,no,8.252902194512350,50.397552379627000,446900.7798,5583100.656
3b-I,56,3,B,6.0,high,0.71,up,4.5,high,475,1590,4.75,Sloppy slopes,5.1864433289,North West,no,8.253069128184700,50.397568514922600,446912.6623,5583102.331
3b-ii,57,3,B,4.9,low,0.75,down,9,high,447,1478,4.47,Sloppy slopes,5.9445948601,South West,no,8.252839594415100,50.397546328829500,446896.3238,5583100.028
3b-II,58,3,B,6.2,high,0.75,up,9,high,369,1423,3.69,Sloppy slopes,5.2812728882,North West,no,8.253131728341700,50.397574565596900,446917.1182,5583102.959
3b-iv,59,3,B,5.2,low,0.69,down,1,high,255,915,2.55,Sloppy slopes,5.1652512550,North West,no,8.252950883488150,50.397557085779600,446904.2455,5583101.144
3b-IV,60,3,B,5.7,low,0.76,up,1,high,473,1576,4.73,Gentle slopes,4.2274727821,North West,no,8.253020439184970,50.397563808819400,446909.1966,5583101.842
3c-i,61,3,C,6.4,high,0.72,down,4.5,high,401,1513,4.01,Slopping slopes,8.4232902527,North West,no,8.252845707796160,50.397791152878300,446897.0318,5583127.245
3c-I,62,3,C,7.6,high,0.76,up,4.5,high,542,1859,5.42,Slopping slopes,7.4524078369,North West,no,8.253012642337460,50.397807288041200,446908.9144,5583128.92
3c-ii,63,3,C,6.3,high,0.70,down,9,high,324,1129,3.24,Slopping slopes,7.8226380348,North West,no,8.252783107373040,50.397785102130500,446892.5759,5583126.617
3c-II,64,3,C,7.8,high,0.77,up,9,high,509,1712,5.09,Slopping slopes,7.3376908302,North West,no,8.253075242820330,50.397813338665700,446913.3703,5583129.548
3c-iv,65,3,C,6.6,high,0.56,down,1,high,333,1157,3.33,Slopping slopes,7.4346146584,North West,no,8.252894397025400,50.397795858992200,446900.4976,5583127.734
3c-IV,66,3,C,7.3,high,0.80,up,1,high,454,1639,4.54,Slopping slopes,7.4957613945,North West,no,8.252963953084280,50.397802581976700,446905.4486,5583128.432
3d-i,67,3,D,5.8,low,0.75,down,4.5,high,512,1708,5.12,Slopping slopes,7.1334562302,South West,no,8.252739213931040,50.398241313667400,446889.966,5583177.375
3d-I,68,3,D,6.4,high,0.75,up,4.5,high,442,1447,4.42,Sloppy slopes,6.6617670059,South West,no,8.252906150058100,50.398257448802300,446901.8486,5583179.05
3d-ii,69,3,D,6.0,high,0.77,down,9,high,430,1450,4.3,Slopping slopes,7.1351776123,South West,no,8.252676612913260,50.398235262930200,446885.5101,5583176.747
3d-II,70,3,D,6.3,high,0.76,up,9,high,350,1499,3.5,Sloppy slopes,5.9090247154,South West,no,8.252968751135620,50.398263499416200,446906.3045,5583179.678
3d-iv,71,3,D,6.0,low,0.78,down,1,high,232,863,2.32,Sloppy slopes,6.2449259758,South West,no,8.252787903622790,50.398246019773100,446893.4318,5583177.864
3d-IV,72,3,D,6.2,high,0.74,up,1,high,487,1747,4.87,Sloppy slopes,6.5069413185,South West,no,8.252857460342410,50.398252742746000,446898.3828,5583178.561
4a-i,73,4,A,6.2,high,0.75,down,4.5,low,338,2068,3.38,Sloppy slopes,6.1800556183,South West,no,8.253332609167840,50.396995516034000,446930.749,5583038.431
4a-I,74,4,A,6.0,high,0.78,up,4.5,low,643,2454,6.43,Sloppy slopes,5.5858755112,South West,yes,8.253499528404220,50.397011704028200,446942.6307,5583040.111
4a-ii,75,4,A,6.3,high,0.75,down,9,low,363,1480,3.63,Slopping slopes,7.5885968208,South West,no,8.253270014484160,50.396989445474600,446926.2933,5583037.8
4a-II,76,4,A,6.0,low,0.80,up,9,low,226,1449,2.26,Sloppy slopes,5.3702216148,South West,yes,8.253562123147830,50.397017774464400,446947.0863,5583040.742
4a-iv,77,4,A,5.9,low,0.76,down,1,low,343,1511,3.43,Slopping slopes,8.4078998566,South West,no,8.253381293933110,50.397000237557000,446934.2145,5583038.921
4a-IV,78,4,A,5.9,low,0.77,up,1,low,496,2451,4.96,Sloppy slopes,6.2756161690,South West,no,8.253450843614940,50.397006982554600,446939.1652,5583039.621
4b-i,79,4,B,6.0,high,0.61,down,4.5,low,439,1363,4.39,Sloppy slopes,5.5060625076,South West,no,8.253250502322310,50.397341434275200,446925.2996,5583076.952
4b-I,80,4,B,6.1,high,0.77,up,4.5,low,530,1857,5.3,Gentle slopes,4.5610332489,South West,no,8.253417422671450,50.397357622692900,446937.1813,5583078.633
4b-ii,81,4,B,5.9,low,0.72,down,9,low,389,1377,3.89,Sloppy slopes,6.3804626465,South West,no,8.253187907221350,50.397335363557000,446920.8439,5583076.322
4b-II,82,4,B,6.3,high,0.77,up,9,low,446,1569,4.46,Sloppy slopes,6.0087003708,South West,no,8.253480017832350,50.397363693287900,446941.6369,5583079.263
4b-iv,83,4,B,6.0,low,0.55,down,1,low,245,883,2.45,Sloppy slopes,5.0071902275,South West,no,8.253299187412140,50.397346155921700,446928.7651,5583077.442
4b-IV,84,4,B,6.0,high,0.77,up,1,low,489,1775,4.89,Gentle slopes,3.9095711708,South West,no,8.253368737557610,50.397352901095800,446933.7158,5583078.143
4c-i,85,4,C,6.0,high,0.72,down,4.5,low,458,1541,4.58,Gentle slopes,4.4491600990,South West,no,8.253218979883800,50.397474232666200,446923.2075,5583091.74
4c-I,86,4,C,6.4,high,0.76,up,4.5,low,408,1546,4.08,Gentle slopes,3.7912368774,South West,no,8.253385900647880,50.397490421298200,446935.0891,5583093.421
4c-ii,87,4,C,6.1,high,0.70,down,9,low,402,1398,4.02,Sloppy slopes,5.1027035713,South West,no,8.253156384627230,50.397468161867700,446918.7518,5583091.11
4c-II,88,4,C,6.6,high,0.59,up,9,low,369,1426,3.69,Gentle slopes,3.0477311611,North West,no,8.253448495964370,50.397496491973500,446939.5448,5583094.052
4c-iv,89,4,C,6.1,high,0.48,down,1,low,218,763,2.18,Gentle slopes,3.6369748116,South West,no,8.253267665094650,50.397478954375300,446926.6729,5583092.231
4c-IV,90,4,C,6.3,high,0.77,up,1,low,428,1659,4.28,Slightly inclined plains,2.4531898499,North West,no,8.253337215413010,50.397485699638600,446931.6237,5583092.931
4d-i,91,4,D,7.9,high,0.76,down,4.5,low,300,2316,3,Sloppy slopes,5.0114717484,South West,no,8.253111821488400,50.397925673690500,446916.0955,5583142.013
4d-I,92,4,D,7.1,high,0.77,up,4.5,low,264,2184,2.64,Gentle slopes,4.5069313049,South West,no,8.253278743829930,50.397941862347700,446927.9772,5583143.694
4d-ii,93,4,D,7.9,high,0.67,down,9,low,421,2754,4.21,Sloppy slopes,5.0578713417,North West,no,8.253049225640290,50.397919602882500,446911.6399,5583141.383
4d-II,94,4,D,6.9,high,0.78,up,9,low,475,2804,4.75,Gentle slopes,4.5007476807,South West,no,8.253341339737970,50.397947933032500,446932.4329,5583144.324
4d-iv,95,4,D,7.7,high,0.80,down,1,low,293,1430,2.93,Sloppy slopes,5.6766133308,South West,no,8.253160507159340,50.397930395406900,446919.561,5583142.503
4d-IV,96,4,D,7.3,high,0.78,up,1,low,449,1926,4.49,Gentle slopes,4.9528894424,South West,no,8.253230058134980,50.397937140680700,446924.5117,5583143.203
5a-i,97,5,A,5.7,low,0.79,down,4.5,high,317,1247,3.17,Sloppy slopes,5.0262541771,South West,yes,8.253607754868310,50.397090800295800,446950.4111,5583048.829
5a-I,98,5,A,5.7,low,0.68,up,4.5,high,307,1403,3.07,Sloppy slopes,5.7974977493,South West,yes,8.253774671394050,50.397107001132900,446962.2925,5583050.511
5a-ii,99,5,A,5.6,low,0.77,down,9,high,278,1211,2.78,Sloppy slopes,5.3280601501,South West,no,8.253545161201140,50.397084724920300,446945.9555,5583048.198
5a-II,100,5,A,5.9,low,0.74,up,9,high,246,1129,2.46,Sloppy slopes,6.0095415115,South West,yes,8.253837265121190,50.397113076385100,446966.7481,5583051.142
5a-iv,101,5,A,5.7,low,0.76,down,1,high,267,1292,2.67,Sloppy slopes,6.4860844612,South West,yes,8.253656438842970,50.397095525564600,446953.8765,5583049.32
5a-IV,102,5,A,5.7,low,0.86,up,1,high,440,1768,4.4,Sloppy slopes,6.3258452415,South West,yes,8.253725987395370,50.397102275913400,446958.8271,5583050.021
5b-i,103,5,B,5.5,low,0.64,down,4.5,high,204,792,2.04,Sloppy slopes,5.8130187988,South West,no,8.253576065707830,50.397224199619500,446948.3077,5583063.684
5b-I,104,5,B,6.2,high,0.79,up,4.5,high,335,1793,3.35,Gentle slopes,4.6109166145,South West,no,8.253742982554500,50.397240401075100,446960.1892,5583065.367
5b-ii,105,5,B,5.5,low,0.73,down,9,high,168,1012,1.68,Sloppy slopes,6.8417282104,South West,no,8.253513471920310,50.397218124012000,446943.8521,5583063.053
5b-II,106,5,B,6.2,high,0.70,up,9,high,349,1619,3.49,Sloppy slopes,5.7393260002,South West,no,8.253805576401990,50.397246476559300,446964.6447,5583065.998
5b-iv,107,5,B,5.7,low,0.65,down,1,high,154,592,1.54,Sloppy slopes,5.3492102623,South West,no,8.253624749776090,50.397228925068700,446951.7731,5583064.175
5b-IV,108,5,B,6.0,high,0.72,up,1,high,263,1139,2.63,Sloppy slopes,6.1692166328,South West,no,8.253694298462210,50.397235675675200,446956.7237,5583064.876
5c-i,109,5,C,6.6,high,0.73,down,4.5,high,438,1431,4.38,Gentle slopes,3.7957911491,North West,no,8.253518479368350,50.397466596739400,446944.4854,5583090.678
5c-I,110,5,C,7.4,high,0.73,up,4.5,high,356,1565,3.56,Slightly inclined plains,2.7370471954,North West,no,8.253685396898060,50.397482798898700,446956.3668,5583092.36
5c-ii,111,5,C,6.4,high,0.75,down,9,high,375,1328,3.75,Gentle slopes,3.3788115978,North West,no,8.253455885324690,50.397460520868100,446940.0298,5583090.047
5c-II,112,5,C,7.3,high,0.81,up,9,high,348,1435,3.48,Gentle slopes,3.4677584171,North West,no,8.253747991001690,50.397488874646700,446960.8224,5583092.991
5c-iv,113,5,C,6.9,high,0.66,down,1,high,278,1111,2.78,Gentle slopes,3.3275299072,North West,no,8.253567163635830,50.397471322393900,446947.9508,5583091.168
5c-IV,114,5,C,7.2,high,0.67,up,1,high,356,1522,3.56,Slightly inclined plains,2.7584030628,North West,no,8.253636712606550,50.397478073293600,446952.9014,5583091.869
5d-i,115,5,D,6.5,high,0.75,down,4.5,high,379,1349,3.79,Sloppy slopes,6.8034920692,North West,no,8.253460949625050,50.397708751644000,446940.6669,5583117.644
5d-I,116,5,D,6.4,high,0.77,up,4.5,high,421,1545,4.21,Sloppy slopes,5.1039915085,North West,no,8.253627867972740,50.397724953935200,446952.5483,5583119.326
5d-ii,117,5,D,6.7,high,0.70,down,9,high,390,1390,3.9,Slopping slopes,7.3812255859,North West,no,8.253398355274650,50.397702675723100,446936.2113,5583117.013
5d-II,118,5,D,6.3,high,0.84,up,9,high,202,965,2.02,Sloppy slopes,6.1897435188,North West,no,8.253690462383110,50.397731029732800,446957.0039,5583119.957
5d-iv,119,5,D,6.5,high,0.75,down,1,high,207,860,2.07,Sloppy slopes,5.6366872787,North West,no,8.253509634131110,50.397713477337000,446944.1323,5583118.135
5d-IV,120,5,D,6.5,high,0.74,up,1,high,408,1509,4.08,Sloppy slopes,6.0304446220,North West,no,8.253579183442650,50.397720228291600,446949.0829,5583118.836
6a-i,121,6,A,6.1,high,0.74,down,4.5,low,225,770,2.25,Sloppy slopes,5.2594299316,South West,yes,8.253884321464020,50.397187929092800,446970.1761,5583059.432
6a-I,122,6,A,6.7,high,0.74,up,4.5,low,398,1641,3.98,Slopping slopes,7.2323374748,South West,yes,8.254051280545830,50.397203951228100,446982.0604,5583061.094
6a-ii,123,6,A,5.9,low,0.66,down,9,low,162,597,1.62,Sloppy slopes,6.3854556084,South West,yes,8.253821711838010,50.397181920730300,446965.7195,5583058.808
6a-II,124,6,A,6.9,high,0.80,up,9,low,375,1449,3.75,Gentle slopes,4.4192633629,South West,yes,8.254113890231180,50.397209959467200,446986.517,5583061.717
6a-iv,125,6,A,6.4,high,0.64,down,1,low,209,828,2.09,Sloppy slopes,6.1191172600,South West,yes,8.253933017850990,50.397192602240300,446973.6423,5583059.916
6a-IV,126,6,A,6.5,high,0.77,up,1,low,503,1762,5.03,Sloppy slopes,5.9618401527,South West,yes,8.254002584135080,50.397199278130000,446978.5941,5583060.609
6b-i,127,6,B,6.7,high,0.74,down,4.5,low,330,1910,3.3,Sloppy slopes,5.2792339325,South West,no,8.253852842082520,50.397321956933700,446968.0883,5583074.357
6b-I,128,6,B,7.4,high,0.80,up,4.5,low,389,1735,3.89,Gentle slopes,3.9549505711,South West,no,8.254019801610830,50.397337979170100,446979.9726,5583076.019
6b-ii,129,6,B,6.6,high,0.78,down,9,low,300,1106,3,Sloppy slopes,5.4057016373,South West,no,8.253790232289070,50.397315948533400,446963.6317,5583073.733
6b-II,130,6,B,7.4,high,0.81,up,9,low,242,1325,2.42,Gentle slopes,3.0287671089,South West,no,8.254082411463610,50.397343987447000,446984.4292,5583076.642
6b-iv,131,6,B,7.1,high,0.74,down,1,low,330,1474,3.3,Sloppy slopes,5.1687679291,South West,no,8.253901538599720,50.397326630110700,446971.5545,5583074.841
6b-IV,132,6,B,7.3,high,0.79,up,1,low,431,1652,4.31,Sloppy slopes,5.1987614632,South West,no,8.253971105069850,50.397333306042500,446976.5063,5583075.534
6c-i,133,6,C,7.4,high,0.74,down,4.5,low,366,1449,3.66,Gentle slopes,3.2420599461,North West,no,8.253821273745110,50.397456361799400,446965.9946,5583089.324
6c-I,134,6,C,7.8,high,0.79,up,4.5,low,522,1608,5.22,Slightly inclined plains,2.8075406551,North West,no,8.253988233657830,50.397472384406700,446977.8788,5583090.986
6c-ii,135,6,C,7.3,high,0.73,down,9,low,244,1189,2.44,Gentle slopes,3.5804159641,South West,no,8.253758663807510,50.397450353260000,446961.538,5583088.7
6c-II,136,6,C,7.4,high,0.83,up,9,low,373,1689,3.73,Slightly inclined plains,2.9881713390,North West,no,8.254050843654770,50.397478392822800,446982.3354,5583091.61
6c-iv,137,6,C,7.5,high,0.63,down,1,low,287,1290,2.87,Gentle slopes,4.6921234131,South West,no,8.253869970374430,50.397461035084600,446969.4608,5583089.809
6c-IV,138,6,C,7.8,high,0.70,up,1,low,433,1734,4.33,Gentle slopes,3.9356796741,North West,no,8.253939537004730,50.397467711170900,446974.4126,5583090.501
6d-i,139,6,D,6.0,high,0.77,down,4.5,low,407,1354,4.07,Gentle slopes,3.5889735222,North West,no,8.253789273844600,50.397592598583400,446963.8722,5583104.495
6d-I,140,6,D,7.0,high,0.79,up,4.5,low,357,1402,3.57,Gentle slopes,3.7178142071,North West,no,8.253956234160740,50.397608621508100,446975.7565,5583106.157
6d-ii,141,6,D,6.5,high,0.75,down,9,low,332,1305,3.32,Gentle slopes,4.1290616989,North West,no,8.253726663755730,50.397586589924900,446959.4156,5583103.871
6d-II,142,6,D,7.1,high,0.77,up,9,low,358,1440,3.58,Gentle slopes,3.5875041485,North West,no,8.254018844308960,50.397614630043200,446980.2131,5583106.781
6d-iv,143,6,D,6.0,low,0.76,down,1,low,294,1147,2.94,Gentle slopes,4.1881189346,North West,no,8.253837970591590,50.397597271961100,446967.3385,5583104.98
6d-IV,144,6,D,6.6,high,0.80,up,1,low,431,1781,4.31,Gentle slopes,4.0946826935,North West,no,8.253907537389980,50.397603948179800,446972.2903,5583105.672
